customer_id,customer_area,signup_date
C10000,Mayur Vihar,2024-05-14
C10001,Saket,2022-09-16
C10002,Hauz Khas,2023-10-10
C10003,Connaught Place,2024-05-31
C10004,Rohini,2022-07-17
C10005,Mayur Vihar,2023-11-30
C10006,Karol Bagh,2023-09-20
C10007,Mayur Vihar,2023-03-21
C10008,Janakpuri,2023-07-24
C10009,Rohini,2023-08-05
C10010,Paschim Vihar,2023-08-28
C10011,Saket,2024-01-11
C10012,Okhla,2023-10-11
C10013,Okhla,2023-09-09
C10014,Hauz Khas,2022-11-01
C10015,Hauz Khas,2022-12-05
C10016,Vasant Kunj,2023-06-13
C10017,Shalimar Bagh,2022-02-23
C10018,Hauz Khas,2022-04-22
C10019,Dwarka,2023-11-15
C10020,Shalimar Bagh,2023-02-23
C10021,Connaught Place,2022-11-01
C10022,Rajouri Garden,2023-03-14
C10023,Pitampura,2023-10-18
C10024,Lajpat Nagar,2022-03-26
C10025,Tilak Nagar,2023-06-08
C10026,Pitampura,2022-09-09
C10027,Green Park,2023-12-29
C10028,Connaught Place,2022-05-06
C10029,Punjabi Bagh,2023-09-02
C10030,Paschim Vihar,2023-02-09
C10031,Lajpat Nagar,2022-10-31
C10032,Shalimar Bagh,2022-01-28
C10033,Rajouri Garden,2024-04-27
C10034,Rohini,2022-09-23
C10035,Green Park,2022-02-21
C10036,Connaught Place,2023-10-17
C10037,Tilak Nagar,2023-10-06
C10038,Green Park,2024-05-07
C10039,Lajpat Nagar,2023-05-26
C10040,Green Park,2022-07-26
C10041,Shalimar Bagh,2023-07-28
C10042,Hauz Khas,2024-05-24
C10043,Green Park,2023-05-26
C10044,Shalimar Bagh,2023-10-06
C10045,Saket,2023-07-07
C10046,Green Park,2022-07-20
C10047,Lajpat Nagar,2023-09-03
C10048,Rohini,2024-04-02
C10049,Preet Vihar,2022-10-11
C10050,Paschim Vihar,2022-12-23
C10051,Paschim Vihar,2022-02-16
C10052,Green Park,2022-05-17
C10053,Preet Vihar,2022-05-10
C10054,Malviya Nagar,2022-07-14
C10055,Saket,2023-09-21
C10056,Paschim Vihar,2022-12-30
C10057,Tilak Nagar,2023-03-08
C10058,Rohini,2022-03-10
C10059,Mayur Vihar,2023-04-03
C10060,Paschim Vihar,2023-06-24
C10061,Okhla,2022-12-01
C10062,Tilak Nagar,2023-06-10
C10063,Pitampura,2023-07-12
C10064,Green Park,2022-01-16
C10065,Tilak Nagar,2023-04-01
C10066,Rajouri Garden,2023-05-25
C10067,Paschim Vihar,2022-07-28
C10068,Janakpuri,2022-06-07
C10069,Rohini,2022-12-03
C10070,Saket,2024-01-09
C10071,Lajpat Nagar,2022-08-29
C10072,Dwarka,2022-02-27
C10073,Vasant Kunj,2024-03-26
C10074,Vasant Kunj,2022-11-01
C10075,Paschim Vihar,2022-12-11
C10076,Mayur Vihar,2023-10-04
C10077,Pitampura,2023-12-30
C10078,Rohini,2022-01-14
C10079,Tilak Nagar,2022-12-25
C10080,Lajpat Nagar,2023-01-12
C10081,Saket,2022-08-31
C10082,Rohini,2022-05-25
C10083,Dwarka,2024-06-09
C10084,Saket,2023-02-19
C10085,Okhla,2023-01-29
C10086,Karol Bagh,2024-04-17
C10087,Dwarka,2023-09-07
C10088,Paschim Vihar,2023-12-30
C10089,Rohini,2022-12-24
C10090,Okhla,2023-07-30
C10091,Saket,2022-06-07
C10092,Pitampura,2023-11-05
C10093,Dwarka,2022-01-18
C10094,Mayur Vihar,2023-12-29
C10095,Mayur Vihar,2024-04-10
C10096,Connaught Place,2023-07-15
C10097,Malviya Nagar,2023-07-22
C10098,Janakpuri,2022-12-13
C10099,Shalimar Bagh,2022-02-27
C10100,Karol Bagh,2022-06-04
C10101,Mayur Vihar,2023-07-21
C10102,Malviya Nagar,2023-05-02
C10103,Tilak Nagar,2024-05-02
C10104,Lajpat Nagar,2023-06-15
C10105,Vasant Kunj,2023-05-02
C10106,Lajpat Nagar,2022-05-31
C10107,Rohini,2022-12-25
C10108,Paschim Vihar,2023-01-03
C10109,Malviya Nagar,2023-09-12
C10110,Paschim Vihar,2022-02-16
C10111,Janakpuri,2022-07-26
C10112,Tilak Nagar,2024-05-24
C10113,Pitampura,2023-03-26
C10114,Rohini,2023-04-28
C10115,Okhla,2024-05-01
C10116,Karol Bagh,2023-10-02
C10117,Shalimar Bagh,2023-11-28
C10118,Connaught Place,2023-07-24
C10119,Vasant Kunj,2022-05-23
C10120,Pitampura,2023-02-04
C10121,Dwarka,2022-04-07
C10122,Punjabi Bagh,2022-02-16
C10123,Shalimar Bagh,2022-07-10
C10124,Karol Bagh,2022-05-20
C10125,Karol Bagh,2023-09-07
C10126,Rajouri Garden,2022-08-19
C10127,Hauz Khas,2022-12-06
C10128,Pitampura,2023-05-06
C10129,Punjabi Bagh,2022-02-18
C10130,Dwarka,2024-06-17
C10131,Shalimar Bagh,2023-09-16
C10132,Punjabi Bagh,2023-03-29
C10133,Green Park,2022-11-12
C10134,Vasant Kunj,2022-11-18
C10135,Mayur Vihar,2022-03-28
